GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,384,3,256,1519,2,2658.29184126854
7365,384,3,256,1519,4,1363.383477211
7365,384,3,256,1519,4,1357.13270735741
7365,384,3,256,1519,8,725.467850446701
7365,384,3,256,1519,8,737.342744827271
7365,384,3,256,1519,12,524.551315784454
7365,384,3,256,1519,12,532.925736427307
7365,384,3,256,1519,16,424.001913070679
7365,384,3,256,1519,16,420.971779823303
7365,384,3,128,3034,2,2656.1684191227
7365,384,3,128,3034,2,2654.18312931061
7365,384,3,128,3034,4,1357.94570732117
7365,384,3,128,3034,4,1362.75496459007
7365,384,3,128,3034,8,722.136453866959
7365,384,3,128,3034,8,727.372023820877
7365,384,3,128,3034,12,520.673293113709
7365,384,3,128,3034,12,512.65148973465
7365,384,3,128,3034,16,421.496508598328
7365,384,3,128,3034,16,411.702128171921
7365,384,1,256,507,4,434.301092624664
7365,384,1,256,507,4,435.049863815308
7365,384,3,1024,128,16,241.279024124145
7365,384,3,1024,128,16,229.806173324585
7365,384,4,1024,128,16,223.471822023392
7365,384,4,1024,128,16,234.168510437012
7365,384,4,1024,128,16,227.94118642807
7365,384,4,1024,128,16,223.170526742935
7365,384,2,1024,128,2,957.547648191452
7365,384,3,1024,128,2,967.910794258118
7365,384,4,1024,128,2,974.444415569305
7365,384,4,1024,128,2,972.750052928925
7365,216,2,1024,128,2,571.555376768112
7365,216,3,1024,128,2,584.195630550385
7365,216,4,1024,128,2,582.917268753052
7365,216,4,1024,128,2,583.295059204102
7365,216,3,1024,382,2,1660.79162931442
7365,216,3,1024,382,2,1662.68463897705
7365,216,3,1024,382,4,936.026507854462
7365,216,3,1024,382,4,967.01705789566
7365,216,3,1024,382,8,544.127830028534
7365,216,3,1024,382,8,554.054892539978
7365,216,3,1024,382,12,483.977269887924
7365,216,3,1024,382,12,436.813408374786
7365,216,3,1024,382,16,368.242861509323
7365,216,3,1024,382,16,375.671510219574
7365,216,3,512,760,2,1559.61843180656
7365,216,3,512,760,2,1560.93448090553
7365,216,3,512,760,4,834.0881524086
7365,216,3,512,760,4,836.298309326172
7365,216,3,512,760,8,486.082616090775
7365,216,3,512,760,8,492.768934488297
7365,216,3,512,760,12,378.196120738983
7365,216,3,512,760,12,375.994910478592
7365,216,3,512,760,16,316.996847629547
7365,216,3,512,760,16,316.904197216034
7365,216,3,256,1519,2,1524.51432275772
7365,216,3,256,1519,2,1522.75815153122
7365,216,3,256,1519,4,805.667823553085
7365,216,3,256,1519,4,805.313914775848
7365,216,3,256,1519,8,465.060690879822
7365,216,3,256,1519,8,457.292115449905
7365,216,3,256,1519,12,348.076225757599
7365,216,3,256,1519,12,349.444960832596
7365,216,3,256,1519,16,310.507826089859
7365,216,3,256,1519,16,320.496630430222
7365,216,3,128,3034,2,1550.13197040558
7365,216,3,128,3034,2,1549.12120318413
7365,216,3,128,3034,4,823.570428133011
