GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,216,3,8,16176,2,2295.80404472351
7365,216,3,8,16176,2,2309.04836606979
1195,445,1,8,16176,4,6464.40962672234
7365,216,3,8,16176,4,2285.65745520592
1195,445,1,8,16176,8,6477.720713377
7365,216,3,8,16176,4,2318.60773468018
7365,216,3,8,16176,8,2291.19720649719
1195,445,1,8,16176,8,6465.41975331307
7365,216,3,8,16176,8,2302.19070053101
1195,445,1,8,16176,8,6458.61736798286
1195,445,1,4,32350,2,7706.70596933365
1195,445,1,4,32350,2,7743.72198176384
1195,445,1,4,32350,2,7733.41372251511
1195,445,1,4,32350,4,7668.40031313896
1195,445,1,4,32350,4,7699.93024325371
1195,445,1,4,32350,4,7662.89406204224
1195,445,1,4,32350,8,7721.59930372238
1195,445,1,4,32350,8,7670.83121919632
1195,445,1,4,32350,8,7704.41927433014
1195,445,1,2,64699,2,9780.26929402351
1195,445,1,2,64699,2,9777.56674337387
1195,445,1,2,64699,2,9764.50577402115
1195,445,1,2,64699,4,9664.78986859322
1195,445,1,2,64699,4,9692.18070387841
1195,445,1,2,64699,4,9751.13036203384
1195,445,1,2,64699,8,9772.40765118599
1195,445,1,2,64699,8,9759.95054721832
1195,445,1,2,64699,8,9766.5102083683
5591,384,2,64,2023,2,1657.07447648048
5591,384,1,64,2023,2,2760.92229413986
5591,384,2,64,2023,2,1646.13603329659
5591,384,1,64,2023,2,2764.72188925743
5591,384,2,64,2023,4,1638.86637592316
5591,384,2,64,2023,4,1628.60910987854
5591,384,1,64,2023,4,2753.16546535492
5591,384,2,64,2023,8,1641.28129529953
5591,384,1,64,2023,4,2754.54156899452
5591,384,2,64,2023,8,1628.21476840973
5591,384,2,64,2023,12,1629.98685383797
5591,384,2,64,2023,12,1642.02933454514
5591,384,1,64,2023,6,2753.09108233452
5591,384,1,64,2023,6,2751.46741890907
5591,384,2,64,2023,16,1642.37266874313
5591,384,2,64,2023,16,1632.62599182129
5591,384,2,32,4045,2,1880.80149555206
5591,384,1,64,2023,8,2752.87520051002
5591,384,2,32,4045,2,1906.24043869972
5591,384,1,64,2023,8,2757.14020681381
5591,384,2,32,4045,4,1856.81266450882
