SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,NrNodes,Memory,MACs,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.347384,0.460754653904587,1.361,5,0.020328865000011,0.005143315996975,1354752,0.185138092000216,0.007147,Pad,1920,1,6655488,2918400,-0.001967653904587,0.036906
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.358609,0.272966512944549,1.081,4,0.006659551000212,0.001106834970415,307200,0.146212872999968,0.012606,Conv,12352,2,2916608,19834880,0.174595487055451,0.013618
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.357455,0.265966863138601,1.01,4,0.00217527399991,0.000463041942567,102400,0.135554317999777,0.004257,Conv,54592,7,13735168,85381120,0.182749136861399,0.00052
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.381568,0.485908092930913,1.339,5,0.001903687999857,0.000456699868664,102400,0.137168492000001,0.024181,Add,53440,6,11272960,85381120,-0.061305092930913,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.411151,0.3726472039707,1.23,4,0.001906024000164,0.000446252990514,102400,0.133409553000092,0.024376,Add,53440,6,11272960,85381120,0.022372796029299,0.009706
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.437007,0.374600673094392,1.028,4,0.001925512000071,0.000476390123367,102400,0.135478063999926,0.03168,Add,24960,1,2967040,39628800,-0.005436673094392,0.006548
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.438665,0.287708589108661,0.857,3,0.00940279300039,0.002309752861038,614400,0.143457322000359,0.005369,Conv,3840,2,7388160,6082560,0.079797410891339,0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.454571,0.359929748810828,1.261,4,0.009298759000103,0.002312348922715,614400,0.165825471000062,0.019663,Conv,36960,2,5677440,59304960,-0.008329748810828,0.023556
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.458474,0.275324876187369,1.138,4,0.003292750000128,0.000645702006295,153600,0.140337897000336,0.01169,Conv,118752,7,20750208,187054080,0.072372123812631,0.003686
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.502407,0.280749448109418,1.184,5,0.002612042999772,0.000619306927547,153600,0.136198097000033,0.052638,Add,117024,6,17056896,187054080,0.023014551890582,0
